batch_id,timestamp,ligne,produit,temperature_c,pression_bar,ph,debit_l_min,energie_kwh,temps_cycle_min,rendement_pct,taux_rebut_pct,cout_batch_mad,emission_co2_kg,alarme,operateur,qualite_finale
PROC-00894,2026-04-18 13:30,Ligne C,Batch P1,72.33,3.01,7.99,76.61,85.42,83.4,79.23,5.19,2191.27,52.96,Aucune,Equipe B,Conforme
PROC-00895,2026-02-26 15:00,Ligne B,Batch P3,51.5,3.49,7.54,149.09,151.88,79.1,81.36,2.53,2430.45,94.17,Aucune,Equipe B,À contrôler
PROC-00896,2026-02-20 08:30,Ligne A,Batch P3,69.75,3.87,7.02,104.11,189.05,103.8,87.06,3.99,1440.26,117.21,Aucune,Equipe C,Conforme
PROC-00897,2026-06-24 15:15,Réacteur 2,Batch P4,73.05,4.52,7.81,81.4,199.0,80.6,93.72,4.58,2645.66,123.38,Aucune,Equipe C,Conforme
PROC-00898,2026-05-02 14:45,Ligne C,Batch P4,70.26,2.76,7.62,150.71,285.18,128.9,85.78,3.61,1251.81,176.81,pH,Equipe A,Non conforme
PROC-00899,2026-05-28 14:30,Ligne A,Batch P4,85.38,3.89,7.41,76.51,267.65,78.3,86.18,7.57,1426.89,165.94,Aucune,Equipe B,Conforme
PROC-00900,2026-06-10 19:15,Réacteur 2,Batch P1,72.66,3.8,7.82,152.1,238.87,128.9,92.67,2.51,2291.73,148.1,Aucune,Equipe C,Conforme
PROC-00901,2026-04-16 15:15,Réacteur 2,Batch P2,67.74,2.39,6.58,108.8,102.3,53.4,79.85,5.74,3564.39,63.43,Aucune,Equipe B,Non conforme
PROC-00902,2026-03-15 07:30,Réacteur 1,Batch P1,59.31,3.43,6.51,153.03,141.77,69.4,83.05,4.91,2137.8,87.9,Température,Equipe C,Conforme
PROC-00903,2026-01-04 21:15,Ligne C,Batch P2,72.21,3.46,5.99,95.94,109.47,98.7,87.84,3.61,1198.53,67.87,Aucune,Equipe C,Non conforme
PROC-00904,2026-05-10 08:00,Réacteur 1,Batch P1,68.07,1.04,6.62,125.38,177.01,105.9,91.0,3.16,1302.77,109.75,Température,Equipe C,Conforme
PROC-00905,2026-06-04 13:45,Ligne A,Batch P4,68.37,2.84,7.0,100.77,254.78,96.7,92.53,4.72,3239.71,157.97,Aucune,Equipe A,Conforme
PROC-00906,2026-04-09 14:00,Réacteur 1,Batch P4,70.33,4.23,7.18,130.66,99.6,96.1,80.97,5.42,2682.73,61.75,Pression,Equipe C,Conforme
PROC-00907,2026-06-04 17:15,Ligne C,Batch P1,69.89,2.3,6.86,98.28,61.12,75.0,74.86,6.42,2451.37,37.89,Aucune,Equipe A,Conforme
PROC-00908,2026-06-22 06:15,Réacteur 1,Batch P2,64.38,3.0,6.66,110.04,188.09,105.8,77.89,8.02,1462.38,116.62,Aucune,Equipe A,Conforme
PROC-00909,2026-06-28 09:45,Réacteur 1,Batch P2,90.04,3.94,7.16,92.73,253.66,112.4,70.89,2.27,2703.8,157.27,Aucune,Equipe C,Conforme
PROC-00910,2026-06-04 18:00,Réacteur 1,Batch P1,65.6,2.5,7.59,151.37,169.76,96.5,82.59,3.02,2036.25,105.25,Aucune,Equipe B,À contrôler
PROC-00911,2026-02-21 13:30,Ligne A,Batch P3,80.26,3.99,6.28,118.46,139.27,84.4,84.33,2.8,1436.23,86.35,Aucune,Equipe B,Conforme
PROC-00912,2026-01-10 10:00,Ligne B,Batch P2,57.64,2.88,7.59,126.47,532.55,69.9,82.97,5.45,3300.58,330.18,Aucune,Equipe C,Conforme
PROC-00913,2026-02-12 08:30,Réacteur 1,Batch P1,83.24,4.31,7.29,99.59,315.93,100.8,95.29,2.11,3156.68,195.88,Aucune,Equipe B,Conforme
PROC-00914,2026-04-08 20:45,Réacteur 2,Batch P4,73.64,3.63,7.76,128.64,203.89,126.4,84.19,2.75,1816.07,126.41,Débit,Equipe C,Non conforme
PROC-00915,2026-01-22 08:45,Réacteur 2,Batch P4,65.44,1.8,6.78,110.45,209.06,117.8,86.58,4.29,1207.0,129.62,Aucune,Equipe C,Conforme
PROC-00916,2026-03-30 21:45,Ligne A,Batch P2,56.06,3.56,7.44,130.32,71.72,133.7,77.32,5.95,1002.82,44.47,Aucune,Equipe A,Conforme
PROC-00917,2026-05-20 15:30,Ligne C,Batch P3,65.95,2.78,6.56,135.74,275.2,76.1,84.09,2.1,1249.93,170.62,Température,Equipe C,Conforme
PROC-00918,2026-04-29 10:15,Ligne B,Batch P3,72.18,4.54,7.67,126.69,75.21,110.2,85.86,5.42,1604.42,46.63,Aucune,Equipe B,Conforme
PROC-00919,2026-03-25 10:15,Ligne A,Batch P1,78.55,2.96,7.4,100.63,152.18,54.3,84.19,3.32,3063.94,94.35,Pression,Equipe B,À contrôler
PROC-00920,2026-04-02 06:45,Ligne B,Batch P1,71.46,3.11,7.74,157.14,100.13,110.2,89.09,4.94,2602.0,62.08,Aucune,Equipe A,Conforme
PROC-00921,2026-01-07 18:30,Ligne C,Batch P3,58.86,3.85,6.93,98.06,277.92,99.3,77.25,2.1,3155.37,172.31,Aucune,Equipe C,Conforme
PROC-00922,2026-04-30 20:00,Ligne C,Batch P4,63.35,3.34,7.2,101.02,196.35,107.4,85.37,2.7,3727.87,121.74,Aucune,Equipe A,Conforme
PROC-00923,2026-04-30 08:45,Ligne A,Batch P3,82.13,2.31,6.97,137.61,186.95,98.2,81.53,7.83,3009.88,115.91,Aucune,Equipe A,Conforme
PROC-00924,2026-01-14 11:30,Ligne C,Batch P4,65.88,3.7,7.1,136.81,215.82,101.4,91.66,3.01,2542.97,133.81,pH,Equipe C,Conforme
PROC-00925,2026-01-31 11:45,Réacteur 1,Batch P4,92.14,4.04,5.9,113.48,104.42,115.0,99.0,6.09,3579.43,64.74,Aucune,Equipe C,Conforme
PROC-00926,2026-03-23 08:00,Réacteur 2,Batch P2,71.47,1.94,7.36,152.9,69.11,89.4,90.34,3.23,2297.01,42.85,Aucune,Equipe C,Conforme
PROC-00927,2026-05-09 16:45,Ligne C,Batch P1,76.59,2.24,7.51,111.01,107.59,109.1,91.62,0.0,2349.46,66.71,Aucune,Equipe A,Conforme
PROC-00928,2026-01-16 12:15,Ligne C,Batch P2,85.0,3.21,6.1,101.35,265.47,98.1,76.5,5.48,2749.29,164.59,Aucune,Equipe A,Conforme
PROC-00929,2026-03-02 12:15,Réacteur 1,Batch P1,60.19,2.95,6.95,100.07,144.3,81.0,96.35,6.11,2569.28,89.47,Aucune,Equipe C,Conforme
PROC-00930,2026-06-19 15:45,Ligne C,Batch P1,92.12,3.29,7.49,80.25,171.47,78.0,80.42,2.85,2600.26,106.31,Aucune,Equipe A,Conforme
PROC-00931,2026-04-21 13:00,Réacteur 1,Batch P4,82.37,3.39,5.96,103.77,106.27,69.7,,6.54,3415.95,65.89,Aucune,Equipe B,Conforme
PROC-00932,2026-02-23 13:30,Ligne C,Batch P3,67.42,3.1,7.87,88.4,91.34,94.5,77.48,0.12,1824.45,56.63,Aucune,Equipe C,Conforme
PROC-00933,2026-06-03 10:15,Ligne C,Batch P1,76.55,2.34,7.55,122.86,154.39,78.8,87.0,6.23,3467.06,95.72,Aucune,Equipe C,Conforme
PROC-00934,2026-04-07 06:45,Ligne B,Batch P3,59.61,2.9,6.52,136.74,156.03,103.6,83.33,3.24,2400.74,96.74,Aucune,Equipe A,Conforme
PROC-00935,2026-02-14 11:15,Ligne A,Batch P1,71.84,3.5,7.32,117.13,20.78,101.1,88.49,1.84,3200.49,12.89,Aucune,Equipe A,Conforme
PROC-00936,2026-03-26 14:30,Ligne B,Batch P2,71.72,1.27,7.27,130.12,192.35,86.7,91.03,9.69,3070.57,119.26,Aucune,Equipe A,Conforme
PROC-00937,2026-02-02 10:45,Ligne A,Batch P1,52.8,4.27,7.17,143.8,70.9,105.1,78.07,5.28,1719.18,43.96,Aucune,Equipe C,Conforme
PROC-00938,2026-06-16 19:15,Réacteur 2,Batch P1,66.18,4.26,6.03,106.48,168.52,46.4,83.29,4.51,1182.36,104.48,Aucune,Equipe B,Conforme
PROC-00939,2026-01-30 20:30,Ligne C,Batch P2,65.3,3.12,6.66,117.74,148.71,109.0,85.12,3.6,3209.62,92.2,Aucune,Equipe B,Conforme
PROC-00940,2026-05-28 06:45,Réacteur 1,Batch P3,64.05,3.16,7.02,78.27,96.69,80.0,89.08,3.9,3086.13,59.95,Aucune,Equipe A,Conforme
PROC-00941,2026-02-11 10:00,Ligne B,Batch P1,76.5,3.16,7.38,138.4,173.87,115.9,88.57,6.49,2094.5,107.8,Température,Equipe B,Conforme
PROC-00942,2026-02-03 14:45,Ligne C,Batch P3,61.15,2.16,7.78,113.41,56.13,106.4,71.26,2.43,1436.06,34.8,Aucune,Equipe A,Conforme
PROC-00943,2026-06-01 12:45,Réacteur 1,Batch P2,72.35,3.03,6.26,65.35,387.25,68.3,88.3,6.33,1994.87,240.09,Aucune,Equipe C,Conforme
PROC-00944,2026-05-31 06:00,Ligne A,Batch P2,62.56,3.44,7.38,127.89,143.97,72.3,77.08,4.35,1514.43,89.26,Aucune,Equipe A,Conforme
PROC-00945,2026-03-19 06:45,Ligne A,Batch P4,64.11,2.49,6.48,131.56,262.31,84.8,88.4,4.53,3423.23,162.63,Aucune,Equipe B,Conforme
PROC-00946,2026-04-08 22:15,Réacteur 1,Batch P1,81.39,2.84,7.17,121.53,74.28,120.4,85.64,4.32,1759.17,46.06,Aucune,Equipe A,À contrôler
PROC-00947,2026-05-11 15:00,Réacteur 2,Batch P2,80.87,2.72,7.04,107.75,134.73,99.8,79.25,4.81,1335.12,83.53,Aucune,Equipe A,Conforme
PROC-00948,2026-05-08 17:30,Ligne C,Batch P4,96.71,2.97,7.86,127.89,152.03,72.7,77.89,0.19,3499.3,94.26,Température,Equipe C,Conforme
PROC-00949,2026-04-25 14:45,Ligne C,Batch P1,74.01,3.01,7.02,122.04,179.51,109.4,88.43,2.08,3060.18,111.3,Aucune,Equipe A,Conforme
PROC-00950,2026-02-06 07:00,Réacteur 1,Batch P2,85.05,2.08,6.55,108.18,247.21,97.5,86.83,6.99,3756.53,153.27,Aucune,Equipe C,Conforme
PROC-00951,2026-04-07 22:30,Ligne C,Batch P1,68.09,2.27,8.07,95.4,200.71,108.8,86.22,3.67,1913.59,124.44,pH,Equipe C,À contrôler
PROC-00952,2026-05-03 19:30,Ligne A,Batch P3,73.67,3.1,7.33,80.26,270.87,124.8,94.03,5.21,3502.25,167.94,Aucune,Equipe C,Conforme
PROC-00953,2026-06-05 20:15,Ligne C,Batch P4,84.4,3.68,6.95,124.56,186.78,90.6,84.47,5.09,2595.67,115.8,Aucune,Equipe A,Conforme
PROC-00954,2026-01-28 17:45,Réacteur 1,Batch P2,71.97,3.53,6.78,113.88,179.03,,81.69,4.92,2445.98,111.0,Aucune,Equipe C,Conforme
PROC-00955,2026-05-30 10:30,Réacteur 1,Batch P3,67.67,2.99,7.04,133.73,152.28,110.8,73.77,1.95,3293.5,94.42,Aucune,Equipe C,À contrôler
PROC-00956,2026-06-01 13:15,Ligne B,Batch P4,60.6,3.25,6.44,106.03,166.22,100.7,85.57,5.78,2363.19,103.06,Débit,Equipe A,Conforme
PROC-00957,2026-05-02 19:00,Ligne C,Batch P1,85.81,2.6,7.21,139.41,88.75,92.6,80.24,1.42,1755.28,55.03,Aucune,Equipe C,Conforme
PROC-00958,2026-02-23 15:30,Ligne B,Batch P1,81.27,1.98,6.61,77.07,280.86,119.8,87.07,5.8,1758.75,174.13,Température,Equipe A,Conforme
PROC-00959,2026-04-29 17:15,Réacteur 1,Batch P2,80.19,2.13,7.09,99.07,87.07,74.1,80.52,7.83,920.89,53.98,Aucune,Equipe A,Conforme
PROC-00960,2026-06-13 17:15,Ligne A,Batch P4,,3.94,7.25,119.44,85.56,57.2,83.54,5.67,2320.63,53.05,pH,Equipe C,Conforme
PROC-00961,2026-04-20 18:30,Réacteur 1,Batch P2,88.4,2.11,6.42,110.39,117.54,97.5,83.59,0.04,2062.44,72.87,Aucune,Equipe A,Conforme
PROC-00962,2026-04-01 18:45,Ligne A,Batch P4,,3.72,6.69,141.89,110.33,87.9,90.68,4.37,1698.34,68.41,pH,Equipe C,Conforme
PROC-00963,2026-04-15 17:15,Réacteur 2,Batch P2,81.13,2.95,6.74,120.17,89.58,163.2,85.42,3.85,3483.72,55.54,Aucune,Equipe A,Conforme
PROC-00964,2026-02-20 09:15,Ligne A,Batch P4,72.2,4.27,6.87,125.22,222.32,107.9,88.22,10.54,2439.44,137.84,pH,Equipe B,Conforme
PROC-00965,2026-02-03 10:00,Ligne A,Batch P4,98.22,3.65,7.19,112.55,50.61,101.5,90.31,5.0,3116.29,31.38,Aucune,Equipe A,Conforme
PROC-00966,2026-03-13 22:15,Ligne B,Batch P2,74.34,2.87,7.72,79.69,195.3,89.1,85.59,9.7,3128.43,121.08,Aucune,Equipe A,Conforme
PROC-00967,2026-03-01 12:30,Ligne C,Batch P1,80.49,3.34,7.55,92.52,170.25,103.4,80.93,2.33,1669.98,105.55,Aucune,Equipe A,Conforme
PROC-00968,2026-04-29 15:15,Ligne B,Batch P4,71.98,3.13,,131.13,233.71,50.1,79.5,1.49,2699.75,144.9,Aucune,Equipe A,Conforme
PROC-00969,2026-02-15 14:00,Réacteur 2,Batch P3,70.26,3.68,8.02,103.31,160.03,139.4,82.8,1.41,2703.1,99.22,Aucune,Equipe A,Conforme
PROC-00970,2026-01-24 12:45,Réacteur 2,Batch P3,54.68,1.57,7.44,118.86,44.07,94.6,83.08,5.67,2548.81,27.32,Aucune,Equipe C,Conforme
PROC-00971,2026-02-19 16:30,Réacteur 2,Batch P3,75.16,2.59,7.04,128.75,132.29,72.8,86.49,7.55,3039.43,82.02,Pression,Equipe A,À contrôler
PROC-00972,2026-03-26 10:45,Réacteur 1,Batch P1,82.1,3.93,6.95,78.12,136.64,97.6,79.35,4.29,2038.99,84.72,Aucune,Equipe A,Conforme
PROC-00973,2026-04-06 14:15,Réacteur 2,Batch P3,79.56,3.18,6.52,78.2,169.08,92.0,81.83,7.6,2782.7,104.83,Aucune,Equipe A,Conforme
PROC-00974,2026-05-28 10:15,Réacteur 1,Batch P4,73.45,2.46,6.87,124.22,224.27,102.6,89.12,4.41,1499.71,139.05,Aucune,Equipe B,Conforme
PROC-00975,2026-05-25 15:30,Réacteur 1,Batch P1,68.42,0.96,6.78,89.6,96.46,96.1,90.29,5.98,2662.47,59.8,Aucune,Equipe B,Conforme
PROC-00976,2026-02-10 09:45,Ligne C,Batch P2,75.56,3.66,7.69,141.31,185.53,84.0,83.72,3.5,1960.18,115.03,Aucune,Equipe B,Conforme
PROC-00977,2026-06-01 12:15,Réacteur 2,Batch P4,75.67,2.98,6.55,86.57,156.34,95.1,85.17,2.96,2798.77,96.93,Aucune,Equipe C,Conforme
PROC-00978,2026-03-14 15:00,Ligne C,Batch P4,74.92,5.14,6.88,119.9,95.12,84.7,78.62,2.37,2922.32,58.97,Pression,Equipe A,Conforme
PROC-00979,2026-05-09 09:00,Ligne B,Batch P1,82.04,3.53,7.19,129.18,198.29,49.9,88.72,,3327.59,122.94,Débit,Equipe C,Conforme
PROC-00980,2026-05-01 06:15,Ligne B,Batch P2,58.39,3.12,6.47,69.23,190.66,106.3,84.53,2.55,2643.91,118.21,Température,Equipe A,Conforme
PROC-00981,2026-05-21 13:45,Ligne A,Batch P2,85.08,3.63,6.73,86.03,185.83,102.9,86.45,2.97,3213.93,115.22,Pression,Equipe C,Conforme
PROC-00982,2026-05-09 11:45,Ligne A,Batch P3,79.47,2.03,7.42,94.23,152.85,111.8,81.07,1.27,2845.21,94.77,Aucune,Equipe C,À contrôler
PROC-00983,2026-02-23 20:15,Ligne A,Batch P1,71.84,3.34,6.51,78.74,132.2,97.9,75.79,6.29,2649.44,81.96,Aucune,Equipe C,Conforme
PROC-00984,2026-01-01 11:00,Ligne A,Batch P4,66.61,3.18,7.8,127.1,100.72,73.9,95.27,6.53,3259.46,62.44,Pression,Equipe C,Conforme
PROC-00985,2026-01-31 11:45,Ligne B,Batch P1,63.15,3.33,7.71,94.85,88.26,96.4,89.76,3.64,2699.84,54.72,Aucune,Equipe B,Conforme
PROC-00986,2026-01-25 09:45,Ligne B,Batch P1,70.15,2.17,8.19,110.28,143.69,86.2,88.1,2.87,2908.37,89.09,Aucune,Equipe C,Conforme
PROC-00987,2026-06-12 19:30,Ligne C,Batch P4,61.28,1.92,7.09,115.71,72.36,91.4,66.95,4.47,2826.77,44.86,Aucune,Equipe C,Conforme
PROC-00988,2026-03-16 09:15,Ligne B,Batch P2,89.32,1.97,7.62,113.3,158.27,117.5,92.65,6.23,1591.3,98.13,Aucune,Equipe C,Conforme
PROC-00989,2026-03-06 18:45,Ligne A,Batch P2,66.12,3.03,7.24,74.63,305.18,98.5,92.33,4.19,3860.06,189.21,Aucune,Equipe B,Conforme
PROC-00990,2026-06-14 18:00,Réacteur 1,Batch P1,,3.36,7.26,80.57,254.2,87.2,92.21,2.48,1688.49,157.6,Aucune,Equipe B,Conforme
PROC-00991,2026-03-29 15:45,Réacteur 2,Batch P2,74.42,2.71,6.63,85.8,66.18,67.4,87.56,5.15,2666.87,41.03,Aucune,Equipe C,À contrôler
PROC-00992,2026-03-15 10:00,Réacteur 2,Batch P1,67.51,2.68,6.44,96.19,241.19,111.1,79.59,3.13,1907.59,149.54,Aucune,Equipe B,Conforme
PROC-00993,2026-03-15 22:00,Réacteur 2,Batch P2,78.0,2.73,7.39,103.55,92.18,119.8,87.95,2.44,1545.29,57.15,Aucune,Equipe C,Conforme
PROC-00994,2026-02-10 21:15,Ligne A,Batch P3,72.17,2.99,7.47,110.19,84.57,75.3,83.5,4.14,3561.79,52.43,Aucune,Equipe A,Conforme
PROC-00995,2026-02-13 07:15,Ligne C,Batch P4,74.8,,6.82,109.75,190.39,70.9,84.59,4.09,2905.06,118.04,Pression,Equipe A,Conforme
PROC-00996,2026-06-06 10:45,Ligne B,Batch P3,73.41,3.86,7.56,153.13,220.38,94.2,87.23,0.97,3235.82,136.64,Aucune,Equipe C,Conforme
PROC-00997,2026-06-09 15:30,Ligne A,Batch P3,,1.59,6.65,124.8,71.4,106.1,80.31,6.51,1465.63,44.27,Aucune,Equipe A,À contrôler
PROC-00998,2026-01-21 16:15,Réacteur 1,Batch P2,72.13,1.35,6.25,133.84,141.26,85.7,80.06,1.33,1653.38,87.58,Aucune,Equipe B,Conforme
PROC-00999,2026-03-12 12:30,Réacteur 1,Batch P2,71.51,5.5,7.21,128.55,77.47,92.5,90.84,0.0,3006.36,48.03,Aucune,Equipe C,Conforme
PROC-01000,2026-02-24 08:00,Réacteur 1,Batch P2,75.14,3.36,7.59,103.76,149.85,118.3,86.43,4.09,2653.74,92.91,Pression,Equipe C,Conforme
PROC-01001,2026-02-18 13:15,Réacteur 2,Batch P2,81.41,2.56,7.41,96.86,112.8,110.2,91.68,2.18,3033.14,69.94,Aucune,Equipe B,Conforme
PROC-01002,2026-03-15 06:45,Ligne B,Batch P3,80.09,2.81,7.38,131.52,111.69,85.7,84.43,1.94,1733.32,69.25,Aucune,Equipe C,Non conforme
PROC-01003,2026-04-27 15:45,Réacteur 2,Batch P1,74.0,3.38,7.08,105.19,44.43,93.0,88.39,4.69,1621.18,27.55,Aucune,Equipe C,Conforme
PROC-01004,2026-05-10 20:30,Réacteur 2,Batch P4,53.03,1.8,7.38,104.99,103.96,134.0,95.91,6.23,3583.85,64.45,Aucune,Equipe A,Conforme
PROC-01005,2026-04-17 22:45,Réacteur 2,Batch P1,75.73,2.66,6.36,143.46,103.54,101.1,86.53,5.42,2054.43,64.2,Aucune,Equipe A,Conforme
PROC-01006,2026-05-15 12:30,Ligne B,Batch P4,85.63,2.38,7.37,102.95,82.47,92.4,76.94,6.17,1854.92,51.13,Aucune,Equipe A,Non conforme
PROC-01007,2026-04-17 21:30,Réacteur 1,Batch P2,89.7,3.55,7.88,126.88,35.31,63.5,75.77,7.58,2254.65,21.89,Pression,Equipe B,Conforme
PROC-01008,2026-04-22 18:30,Réacteur 1,Batch P2,75.24,3.08,7.23,122.82,125.41,93.4,91.43,3.31,2702.92,77.75,Aucune,Equipe A,Non conforme
PROC-01009,2026-05-19 21:00,Réacteur 1,Batch P3,72.32,2.98,7.46,107.17,228.39,97.0,86.12,4.82,3511.39,141.6,Aucune,Equipe A,À contrôler
PROC-01010,2026-01-31 11:15,Ligne A,Batch P2,69.38,3.74,7.2,140.41,172.72,91.5,81.62,6.73,2033.01,107.09,Aucune,Equipe A,Non conforme
PROC-01011,2026-06-11 12:15,Ligne A,Batch P4,79.05,3.17,7.89,90.79,58.23,104.6,83.62,1.55,3494.48,36.1,Aucune,Equipe A,À contrôler
PROC-01012,2026-01-31 08:15,Ligne A,Batch P2,73.59,4.21,6.81,125.99,56.72,97.5,86.52,0.0,2526.14,35.17,Aucune,Equipe C,Conforme
PROC-01013,2026-03-20 06:45,Ligne A,Batch P4,62.43,3.28,7.25,102.21,158.62,142.8,93.13,0.25,1248.96,98.34,pH,Equipe B,Conforme
PROC-01014,2026-05-09 15:45,Réacteur 1,Batch P1,75.23,4.07,6.89,129.44,146.95,88.5,90.36,1.88,3389.52,91.11,Aucune,Equipe B,Conforme
PROC-01015,2026-06-22 09:45,Ligne A,Batch P4,70.35,1.91,7.72,118.43,111.35,71.2,91.56,0.78,1959.54,69.03,Aucune,Equipe A,Conforme
PROC-01016,2026-04-01 09:30,Ligne C,Batch P3,72.97,3.32,7.37,80.52,123.92,87.5,74.39,4.47,3126.95,76.83,Aucune,Equipe A,Conforme
PROC-01017,2026-05-19 17:15,Réacteur 1,Batch P2,69.06,3.08,7.04,119.01,94.32,72.1,95.73,0.0,3459.22,58.48,Aucune,Equipe B,Conforme
PROC-01018,2026-01-24 20:00,Réacteur 2,Batch P3,75.47,2.26,7.31,132.81,212.95,84.2,91.19,4.79,1631.27,132.03,Aucune,Equipe B,Conforme
PROC-01019,2026-05-20 08:15,Ligne B,Batch P2,81.83,3.47,7.77,139.57,177.91,114.6,81.57,1.89,3155.83,110.3,Aucune,Equipe A,Conforme
PROC-01020,2026-03-14 19:15,Ligne B,Batch P4,72.69,2.8,6.85,134.7,32.13,70.3,96.68,3.75,2900.89,19.92,Aucune,Equipe A,Conforme
PROC-01021,2026-04-08 10:30,Réacteur 2,Batch P4,75.13,1.88,7.31,81.87,66.79,97.1,73.87,3.96,3358.77,41.41,Aucune,Equipe C,Non conforme
PROC-01022,2026-04-06 06:30,Ligne A,Batch P2,59.29,3.16,6.33,86.35,50.96,100.1,85.29,1.81,1070.15,31.6,Aucune,Equipe A,Conforme
PROC-01023,2026-01-26 13:00,Ligne A,Batch P2,76.2,3.36,,148.44,335.68,96.2,75.52,4.24,2456.33,208.12,Aucune,Equipe C,Conforme
PROC-01024,2026-02-07 14:45,Ligne A,Batch P1,79.96,4.26,6.17,97.22,160.35,96.8,81.83,7.1,1340.94,99.42,Aucune,Equipe B,Conforme
PROC-01025,2026-01-27 21:45,Réacteur 2,Batch P4,73.03,3.17,6.83,125.6,78.02,59.6,84.76,1.55,3062.43,48.37,Aucune,Equipe C,Conforme
PROC-01026,2026-05-16 16:45,Ligne B,Batch P2,81.18,3.26,7.68,107.23,126.76,90.0,84.17,0.0,2458.53,78.59,pH,Equipe A,Conforme
PROC-01027,2026-06-16 07:30,Réacteur 1,Batch P4,64.49,3.21,6.81,,76.77,95.5,93.15,1.58,2114.94,47.6,Aucune,Equipe C,Conforme
PROC-01028,2026-01-20 12:30,Réacteur 1,Batch P1,76.74,2.72,7.64,91.45,47.2,81.7,85.81,2.71,2353.38,29.27,Aucune,Equipe C,Conforme
PROC-01029,2026-01-02 09:00,Ligne A,Batch P2,68.3,3.01,7.38,127.31,128.67,98.0,94.06,2.38,2583.51,79.78,Température,Equipe B,À contrôler
PROC-01030,2026-06-23 21:30,Réacteur 2,Batch P1,69.07,2.94,6.72,128.0,160.51,108.6,79.85,2.5,1815.52,99.52,Aucune,Equipe A,À contrôler
PROC-01031,2026-02-27 19:30,Ligne B,Batch P1,67.01,3.52,6.7,152.03,220.01,82.6,81.71,3.3,1105.93,136.41,Aucune,Equipe B,Conforme
PROC-01032,2026-05-06 21:00,Ligne B,Batch P1,70.96,3.04,7.12,85.01,72.4,105.3,86.76,4.74,1295.31,44.89,Débit,Equipe B,Conforme
PROC-01033,2026-03-29 16:45,Réacteur 2,Batch P4,78.45,3.24,6.19,107.96,252.52,62.9,88.86,6.24,1185.76,156.56,Aucune,Equipe C,À contrôler
PROC-01034,2026-03-14 15:45,Ligne C,Batch P1,66.5,4.92,7.69,123.46,108.26,64.2,90.45,3.97,2804.83,67.12,Aucune,Equipe C,Conforme
PROC-01035,2026-01-14 22:00,Réacteur 1,Batch P3,76.31,3.83,6.74,82.92,117.81,98.6,76.67,6.72,3445.06,73.04,Aucune,Equipe B,Conforme
PROC-01036,2026-03-28 07:30,Réacteur 1,Batch P3,63.69,3.18,7.56,130.53,236.11,112.2,86.61,3.52,2669.64,146.39,Aucune,Equipe C,Conforme
PROC-01037,2026-06-04 08:00,Réacteur 2,Batch P4,66.8,4.07,6.92,115.88,57.08,74.3,85.63,5.91,2377.85,35.39,Aucune,Equipe C,À contrôler
PROC-01038,2026-02-25 21:15,Ligne C,Batch P4,77.02,2.85,7.09,91.79,222.73,102.5,81.07,2.82,2633.77,138.09,Aucune,Equipe A,Conforme
PROC-01039,2026-03-24 07:45,Ligne C,Batch P2,83.85,3.99,6.49,95.73,152.49,104.4,88.07,1.89,3559.08,94.54,Aucune,Equipe B,Conforme
PROC-01040,2026-03-21 11:15,Ligne B,Batch P4,67.28,3.63,6.41,85.92,112.05,90.9,91.44,5.0,2878.7,69.47,Température,Equipe A,Conforme
PROC-01041,2026-05-14 21:15,Réacteur 2,Batch P2,66.0,2.64,6.04,111.82,109.69,120.5,79.52,4.01,3077.78,68.01,Aucune,Equipe B,Non conforme
PROC-01042,2026-01-11 06:15,Réacteur 1,Batch P1,81.43,3.05,7.72,89.93,75.29,105.5,86.72,3.53,2967.94,46.68,Aucune,Equipe A,Conforme
PROC-01043,2026-06-11 14:15,Réacteur 2,Batch P4,72.3,4.07,7.92,103.12,185.59,93.0,81.53,6.98,1296.17,115.06,Aucune,Equipe C,Conforme
PROC-01044,2026-03-13 17:45,Réacteur 2,Batch P1,69.59,4.04,7.67,136.67,145.33,105.6,88.14,5.35,1306.04,90.11,Aucune,Equipe A,À contrôler
PROC-01045,2026-01-07 20:30,Ligne A,Batch P4,73.85,2.95,7.23,106.58,72.71,93.0,83.27,4.94,1783.71,45.08,Débit,Equipe A,Conforme
PROC-01046,2026-02-05 09:15,Ligne C,Batch P2,77.6,4.24,6.36,158.48,115.86,69.0,81.0,6.98,2760.84,71.83,Pression,Equipe C,À contrôler
PROC-01047,2026-05-28 07:00,Ligne C,Batch P2,64.93,2.06,7.06,101.81,124.69,95.1,79.73,1.51,3397.47,77.31,Aucune,Equipe A,À contrôler
PROC-01048,2026-02-25 13:15,Réacteur 2,Batch P1,65.98,1.44,7.9,122.22,110.45,91.2,84.3,6.82,2412.89,68.48,Aucune,Equipe C,Conforme
PROC-01049,2026-04-02 18:00,Ligne C,Batch P3,69.05,3.67,6.4,126.62,130.45,102.5,78.11,5.17,2626.74,80.88,Température,Equipe C,Conforme
PROC-01050,2026-06-02 21:45,Réacteur 2,Batch P4,50.3,3.33,6.91,132.0,152.9,71.1,81.3,3.15,3193.32,94.8,Aucune,Equipe A,Conforme
PROC-01051,2026-03-06 06:15,Ligne C,Batch P1,67.73,2.61,6.47,76.74,112.94,77.4,93.21,3.93,2976.64,70.02,pH,Equipe C,À contrôler
